"date","hour","avg_revenue","avg_duration","actual_arrivals","actual_departures","flights_F9","flights_WN","flights_AS","flights_AA","flights_DL","flights_UA","flights_B6","flights_HA","flights_7H","flights_CI","flights_SY","flights_Y4","flights_XP","flights_AC"
2024-07-24,15,24,598.59166665872,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-07-24,21,13.3333333333333,424.983333335982,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-24,22,5.71428571428571,51.9107142851466,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-24,23,5.2,39.4566666618983,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2024-07-25,1,240,0.708333329359691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,3,24,305.566666662693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,4,8,74.304166662693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,5,16,580.57083333532,0,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0
2024-07-25,6,3,17.0916666587194,2,10,0,3,1,3,1,2,0,0,0,0,0,0,0,0
2024-07-25,7,24,867.129166666667,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2024-07-25,8,24,599.391666666667,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-25,9,6,65.4916666660044,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024-07-25,10,5.5,76.06458333234,7,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-25,11,6.33333333333333,53.1874999966886,4,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2024-07-25,12,23.8333333333333,29.3916666660044,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-25,13,24,439.033333329359,1,8,1,3,0,1,1,2,0,0,0,0,0,0,0,0
2024-07-25,14,11.5,155.72291666766,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-25,15,13,188.188333333333,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-25,17,5.66666666666667,48.3749999986755,3,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0
2024-07-25,18,6,31.6583333293597,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2024-07-25,19,50,67.9624999999998,6,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2024-07-25,20,6.6,58.5550000007947,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2024-07-25,21,45.2857142857143,30.2285714274361,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-25,22,6,38.3583333333333,8,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0
2024-08-07,4,22.6666666666667,1196.21111110846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-07,5,20,1132.92500000397,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2024-08-07,8,24,869.05,6,6,1,4,0,1,0,0,0,0,0,0,0,0,0,0
2024-08-07,9,24,1433.6,6,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2024-08-07,10,24,1047.77916666865,3,7,1,3,2,1,0,0,0,0,0,0,0,0,0,0
2024-08-07,11,24,1386.9166666627,3,5,1,2,1,0,1,0,0,0,0,0,0,0,0,0
2024-08-07,12,24,1031.41111111111,6,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2024-08-07,13,24,1253.99999999206,2,6,1,2,0,0,1,2,0,0,0,0,0,0,0,0
2024-08-07,14,24,1344.30833332936,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07,15,24,567.508333337307,7,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0
2024-08-07,16,23.3333333333333,910.800000000662,2,6,1,4,0,1,0,0,0,0,0,0,0,0,0,0
2024-08-07,17,24,644.512500003974,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07,18,24,902.463888890213,5,6,1,3,0,0,0,2,0,0,0,0,0,0,0,0
2024-08-07,19,24,247.375000007948,7,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2024-08-07,20,12,261.341666668256,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2024-08-07,21,12,262.745833333996,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07,22,8.73846153846154,135.433846153602,7,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2024-08-07,23,21.8636363636364,72.8458333326109,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-08-08,0,9,144.566666665673,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2024-08-08,1,24,240.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-08,2,14.6666666666667,267.350000001324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-08,3,8.27272727272727,179.582575759021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-08,4,17.2222222222222,587.870370370812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-08-08,5,17.6923076923077,539.974358972984,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0
2024-08-08,6,13.0967741935484,341.282795699181,2,10,1,3,1,2,1,2,0,0,0,0,0,0,0,0
2024-08-08,7,10.1538461538462,113.540384616302,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2024-08-08,8,6.54545454545455,86.4818181789283,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-08,9,9.52112676056338,85.5636150234742,6,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024-08-08,10,6.03846153846154,47.3663461541518,3,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0
2024-08-08,11,6.47272727272727,78.9569696978367,5,5,1,2,0,1,1,0,0,0,0,0,0,0,0,0
2024-08-08,12,17.875,59.2132812495033,5,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0
2024-08-08,13,17.0714285714286,112.600000001987,3,6,0,2,0,1,1,2,0,0,0,0,0,0,0,0
